   1	ALLEN	KAREN
   1	FORD	HARRISON
   2	CONNERY	SEAN
   2	DOODY	ALISON
   2	ELLIOTT	DENHOLM
   2	FORD	HARRISON
   3	ALEXANDER	JASON
   3	LOUISDREYFUS	JULIA
   3	RICHARDS	MICHAEL
   3	SEINFELD	JERRY
   4	CAPSHAW	KATE
   4	FORD	HARRISON
   5	ALEXANDER	JASON
   5	LOUISDREYFUS	JULIA
   5	RICHARDS	MICHAEL
   5	SEINFELD	JERRY
   6	ALEXANDER	JASON
   6	LOUISDREYFUS	JULIA
   6	RICHARDS	MICHAEL
   6	SEINFELD	JERRY
   7	ALEXANDER	JASON
   7	LOUISDREYFUS	JULIA
   7	RICHARDS	MICHAEL
   7	SEINFELD	JERRY
   8	ALEXANDER	JASON
   8	LOUISDREYFUS	JULIA
   8	RICHARDS	MICHAEL
   8	SEINFELD	JERRY
   9	ALEXANDER	JASON
   9	LOUISDREYFUS	JULIA
   9	RICHARDS	MICHAEL
   9	SEINFELD	JERRY
  10	FORD	HARRISON
